                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.0412,                0.49377,                 1.4288,                0.97911,                0.95356,                0.98064,                0.68681,                 1.1361,                0.40399,                 1.5641,                0.00505,                0.00505,                0.00505
                     53,                   1.04,                0.49316,                 1.4261,                0.98088,                0.95403,                0.98088,                 0.6866,                 1.1355,                0.40323,                 1.5636,               0.004951,               0.004951,               0.004951
                     54,                 1.0368,                0.48664,                  1.425,                0.98209,                0.95166,                0.98065,                0.68618,                 1.1346,                 0.4031,                 1.5627,               0.004852,               0.004852,               0.004852
                     55,                 1.0353,                0.48663,                 1.4252,                0.98259,                0.95277,                0.98057,                0.68646,                 1.1344,                0.40259,                 1.5625,               0.004753,               0.004753,               0.004753
                     56,                 1.0392,                0.48799,                 1.4216,                0.98162,                0.95202,                 0.9802,                0.68646,                  1.134,                0.40211,                 1.5617,               0.004654,               0.004654,               0.004654
                     57,                 1.0269,                0.48149,                 1.4187,                0.98164,                0.95291,                0.97985,                0.68679,                 1.1332,                0.40162,                 1.5614,               0.004555,               0.004555,               0.004555
                     58,                 1.0343,                  0.478,                 1.4219,                0.98212,                  0.953,                0.97947,                0.68827,                 1.1324,                0.40129,                 1.5609,               0.004456,               0.004456,               0.004456
                     59,                 1.0228,                0.47475,                 1.4118,                0.98259,                0.95305,                0.97946,                 0.6887,                 1.1323,                0.40116,                 1.5601,               0.004357,               0.004357,               0.004357
                     60,                 1.0264,                0.47667,                 1.4075,                0.98208,                 0.9531,                0.97947,                0.68978,                 1.1315,                0.40104,                 1.5595,               0.004258,               0.004258,               0.004258
                     61,                 1.0202,                0.47497,                 1.4092,                0.98187,                 0.9531,                0.97946,                0.69006,                 1.1312,                0.40048,                 1.5589,               0.004159,               0.004159,               0.004159
                     62,                 1.0186,                0.47524,                 1.4065,                0.98225,                 0.9531,                0.98011,                0.69004,                 1.1306,                0.39981,                 1.5586,                0.00406,                0.00406,                0.00406
                     63,                 1.0135,                0.47203,                 1.4025,                0.98232,                 0.9531,                0.98018,                 0.6902,                 1.1303,                0.39926,                 1.5583,               0.003961,               0.003961,               0.003961
